recording,component,winning_label,winning_prob,p_brain,p_muscle_artifact,p_eye_blink,p_heart_beat,p_line_noise,p_channel_noise,p_other
sub-131-a,16,eye blink,0.5728,0.0148,0.0079,0.5728,0.0033,0.001,0.0182,0.3821
sub-131-a,15,other,0.7072,0.0217,0.0618,0.1246,0.0003,0.0028,0.0816,0.7072
sub-131-a,14,other,0.7097,0.0106,0.0663,0.103,0.0003,0.0019,0.1082,0.7097
sub-131-a,0,other,0.6305,0.2164,0.0399,0.0662,0.005,0.0032,0.0388,0.6305
sub-131-a,17,other,0.4165,0.2757,0.1534,0.0563,0.0015,0.0068,0.0899,0.4165
sub-131-a,3,other,0.5122,0.0854,0.1536,0.0393,0.0031,0.0015,0.2049,0.5122
sub-131-a,2,other,0.3722,0.2416,0.2066,0.0196,0.0053,0.0021,0.1525,0.3722
sub-131-a,9,other,0.6479,0.1447,0.1355,0.0176,0.0005,0.0062,0.0475,0.6479
sub-131-a,10,other,0.592,0.3777,0.0083,0.0075,0.0002,0.0042,0.0102,0.592
sub-131-a,1,brain,0.8792,0.8792,0.0012,0.0069,0.0019,0.0037,0.0219,0.0852
sub-131-a,11,other,0.7531,0.1225,0.0931,0.0052,0.0074,0.0056,0.0131,0.7531
sub-131-a,7,brain,0.894,0.894,0.0011,0.0051,0.0015,0.0024,0.0316,0.0643
sub-131-a,12,other,0.9016,0.0657,0.0177,0.0043,0.0031,0.0026,0.005,0.9016
sub-131-a,6,other,0.8098,0.0885,0.065,0.0033,0.0009,0.0048,0.0276,0.8098
sub-131-a,4,other,0.734,0.1379,0.087,0.0031,0.0057,0.0183,0.0139,0.734
sub-131-a,5,other,0.9145,0.0268,0.0379,0.0017,0.0043,0.0105,0.0043,0.9145
sub-131-a,8,brain,0.5291,0.5291,0.0331,0.0012,0.0022,0.0148,0.0383,0.3813
sub-131-a,13,other,0.932,0.0404,0.0179,0.0006,0.0004,0.0037,0.005,0.932
sub-131-c,13,eye blink,0.6049,0.0129,0.0081,0.6049,0.0012,0.0026,0.0172,0.3531
sub-131-c,2,eye blink,0.4196,0.021,0.0585,0.4196,0.004,0.0027,0.0799,0.4144
sub-131-c,17,other,0.6114,0.041,0.1527,0.1559,0.002,0.0092,0.0279,0.6114
sub-131-c,1,other,0.548,0.0599,0.2161,0.0771,0.0054,0.0012,0.0923,0.548
sub-131-c,10,other,0.5833,0.3262,0.0094,0.0326,0.0025,0.0368,0.0092,0.5833
sub-131-c,5,other,0.4904,0.294,0.1088,0.0265,0.0113,0.0073,0.0618,0.4904
sub-131-c,0,other,0.7753,0.142,0.0172,0.0202,0.0076,0.0036,0.0341,0.7753
sub-131-c,11,brain,0.7085,0.7085,0.0127,0.019,0.0036,0.0184,0.0076,0.2301
sub-131-c,12,brain,0.5299,0.5299,0.086,0.0168,0.0027,0.0077,0.0395,0.3174
sub-131-c,14,other,0.8684,0.0159,0.0872,0.0168,0.0021,0.0029,0.0068,0.8684
sub-131-c,7,brain,0.4616,0.4616,0.0213,0.0084,0.0822,0.0169,0.0141,0.3955
sub-131-c,8,brain,0.618,0.618,0.0041,0.0062,0.0035,0.0123,0.0054,0.3505
sub-131-c,6,other,0.79,0.1047,0.0421,0.0058,0.0026,0.0049,0.0499,0.79
sub-131-c,3,brain,0.8859,0.8859,0.001,0.005,0.0007,0.0027,0.0252,0.0794
sub-131-c,4,other,0.6652,0.1745,0.1124,0.0047,0.0008,0.0131,0.0293,0.6652
sub-131-c,9,brain,0.614,0.614,0.0079,0.002,0.0007,0.0207,0.0337,0.321
sub-131-c,16,other,0.7134,0.2472,0.0031,0.0018,0.0006,0.013,0.0209,0.7134
sub-131-c,15,brain,0.7369,0.7369,0.0009,0.0015,0.0007,0.0046,0.0155,0.2398
sub-134-a,3,brain,0.6269,0.6269,0.0022,0.1776,0.0014,0.0132,0.0398,0.139
sub-134-a,16,other,0.7668,0.0061,0.006,0.1254,0.0007,0.0015,0.0935,0.7668
sub-134-a,17,other,0.7823,0.0441,0.0229,0.101,0.0012,0.0029,0.0456,0.7823
sub-134-a,14,other,0.4957,0.2977,0.128,0.0338,0.0018,0.0063,0.0367,0.4957
sub-134-a,15,brain,0.4507,0.4507,0.1846,0.0268,0.0037,0.013,0.0842,0.2371
sub-134-a,1,other,0.5737,0.1929,0.1102,0.0263,0.0025,0.0256,0.0688,0.5737
sub-134-a,6,other,0.5361,0.3121,0.0848,0.0215,0.0011,0.0203,0.024,0.5361
sub-134-a,2,other,0.4389,0.3134,0.047,0.0181,0.0038,0.0024,0.1764,0.4389
sub-134-a,5,brain,0.6169,0.6169,0.0041,0.0151,0.0003,0.0034,0.0375,0.3226
sub-134-a,13,other,0.6127,0.2493,0.0323,0.0141,0.0047,0.0109,0.0759,0.6127
sub-134-a,11,brain,0.6002,0.6002,0.0039,0.0133,0.0005,0.0097,0.0376,0.3348
sub-134-a,0,brain,0.6033,0.6033,0.0038,0.0086,0.0013,0.0032,0.0093,0.3705
sub-134-a,7,other,0.6323,0.2612,0.0432,0.0074,0.001,0.0053,0.0496,0.6323
sub-134-a,8,brain,0.8714,0.8714,0.0015,0.0056,0.0021,0.0044,0.053,0.062
sub-134-a,10,other,0.8644,0.0808,0.0315,0.0046,0.0016,0.0059,0.0111,0.8644
sub-134-a,9,brain,0.9216,0.9216,0.0011,0.0044,0.0005,0.0023,0.0272,0.0429
sub-134-a,12,other,0.5857,0.3278,0.0263,0.0034,0.0042,0.0054,0.0471,0.5857
sub-134-a,4,brain,0.9614,0.9614,0.001,0.0001,0.0002,0.001,0.0124,0.024
sub-134-c,16,other,0.3843,0.0171,0.0538,0.2497,0.0014,0.0024,0.2913,0.3843
sub-134-c,3,other,0.4321,0.2889,0.0107,0.1521,0.0036,0.0047,0.1079,0.4321
sub-134-c,2,other,0.4209,0.3874,0.0093,0.1011,0.0022,0.0082,0.0708,0.4209
sub-134-c,17,other,0.8105,0.0895,0.0042,0.0715,0.0115,0.0019,0.0108,0.8105
sub-134-c,5,other,0.6092,0.2004,0.0316,0.0627,0.0131,0.0241,0.0588,0.6092
sub-134-c,8,other,0.3964,0.3203,0.1099,0.0503,0.0053,0.0376,0.0802,0.3964
sub-134-c,7,other,0.4357,0.3366,0.088,0.0434,0.0088,0.0207,0.0668,0.4357
sub-134-c,15,other,0.6149,0.2677,0.0537,0.0323,0.0006,0.0125,0.0183,0.6149
sub-134-c,0,other,0.5007,0.4285,0.0087,0.0305,0.0026,0.005,0.0239,0.5007
sub-134-c,4,other,0.4959,0.2464,0.1274,0.026,0.0027,0.0316,0.07,0.4959
sub-134-c,14,other,0.6351,0.1327,0.1614,0.02,0.0019,0.0138,0.0351,0.6351
sub-134-c,13,other,0.6506,0.2454,0.003,0.0188,0.0008,0.01,0.0714,0.6506
sub-134-c,12,brain,0.832,0.832,0.0043,0.0165,0.0026,0.0052,0.0503,0.0891
sub-134-c,6,other,0.4196,0.394,0.0905,0.0079,0.0033,0.007,0.0777,0.4196
sub-134-c,10,other,0.5964,0.3453,0.0035,0.0069,0.0005,0.0256,0.0219,0.5964
sub-134-c,9,brain,0.7875,0.7875,0.0017,0.0032,0.0012,0.0027,0.0407,0.1629
sub-134-c,11,other,0.6082,0.3704,0.0084,0.002,0.0008,0.0063,0.0039,0.6082
sub-134-c,1,brain,0.924,0.924,0.0018,0.0002,0.0004,0.0022,0.026,0.0454
